#,PRODUCTO,SERIAL,ACTIVO,INSERTOS Y ANILLO RETENEDOR,,,,,
359,45,PCT-24-31502-45-004,PCT-45-056,SI,,,,,
360,45,PCT-24-31502-45-005,PCT-45-057,SI,,,,,
361,45,PCT-24-31502-45-006,PCT-45-058,SI,,,,,
362,45,PCT-24-31502-45-007,PCT-45-059,SI,,,,,
363,45,PCT-24-31502-45-008,PCT-45-060,SI,,,,,
364,45,PCT-24-31502-45-009,PCT-45-061,SI,,,,,
365,45,PCT-24-31502-45-010,PCT-45-062,SI,,,,,
366,TAPON,PCT-24-31502-P-001,PCT-PLG-009,NO,,,,,
367,TAPON,PCT-24-31502-P-002,PCT-PLG-010,NO,,,,,
368,TAPA,PCT-24-31502-C-001,PCT-CAP-009,NO,,,,,
